Temperature Data for Maldives (derived from WMO normals and GSA data);;;;;;;
;;;;
Provider;Generated from WMO Climate Normals 1981-2010;;;;;;;;;;
2024.0;8.0;17.0;6.0;26.74;26.74;25.74;27.74;2;22.7;80;4.5
2024.0;8.0;17.0;7.0;27.82;27.82;26.82;28.82;2;23.8;80;4.5
2024.0;8.0;17.0;8.0;28.13;28.13;27.13;29.13;2;24.1;80;4.5
2024.0;8.0;17.0;9.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;8.0;17.0;10.0;29.39;29.39;28.39;30.39;2;25.4;80;4.5
2024.0;8.0;17.0;11.0;29.05;29.05;28.05;30.05;2;25.1;80;4.5
2024.0;8.0;17.0;12.0;29.96;29.96;28.96;30.96;2;26.0;80;4.5
2024.0;8.0;17.0;13.0;30.26;30.26;29.26;31.26;2;26.3;80;4.5
2024.0;8.0;17.0;14.0;31.07;31.07;30.07;32.07;2;27.1;80;4.5
2024.0;8.0;17.0;15.0;31.23;31.23;30.23;32.23;2;27.2;80;4.5
2024.0;8.0;17.0;16.0;30.85;30.85;29.85;31.85;2;26.9;80;4.5
2024.0;8.0;17.0;17.0;30.71;30.71;29.71;31.71;2;26.7;80;4.5
2024.0;8.0;17.0;18.0;31.08;31.08;30.08;32.08;2;27.1;80;4.5
2024.0;8.0;17.0;19.0;29.27;29.27;28.27;30.27;2;25.3;80;4.5
2024.0;8.0;17.0;20.0;29.75;29.75;28.75;30.75;2;25.8;80;4.5
2024.0;8.0;17.0;21.0;27.95;27.95;26.95;28.95;2;23.9;80;4.5
2024.0;8.0;17.0;22.0;27.98;27.98;26.98;28.98;2;24.0;80;4.5
2024.0;8.0;17.0;23.0;27.59;27.59;26.59;28.59;2;23.6;80;4.5
2024.0;8.0;17.0;24.0;27.54;27.54;26.54;28.54;2;23.5;80;4.5
2024.0;8.0;18.0;1.0;27.78;27.78;26.78;28.78;2;23.8;80;4.5
2024.0;8.0;18.0;2.0;26.92;26.92;25.92;27.92;2;22.9;80;4.5
2024.0;8.0;18.0;3.0;26.69;26.69;25.69;27.69;2;22.7;80;4.5
2024.0;8.0;18.0;4.0;26.45;26.45;25.45;27.45;2;22.4;80;4.5
2024.0;8.0;18.0;5.0;26.86;26.86;25.86;27.86;2;22.9;80;4.5
2024.0;8.0;18.0;6.0;27.09;27.09;26.09;28.09;2;23.1;80;4.5
2024.0;8.0;18.0;7.0;27.91;27.91;26.91;28.91;2;23.9;80;4.5
2024.0;8.0;18.0;8.0;28.64;28.64;27.64;29.64;2;24.6;80;4.5
2024.0;8.0;18.0;9.0;27.91;27.91;26.91;28.91;2;23.9;80;4.5
2024.0;8.0;18.0;10.0;30.05;30.05;29.05;31.05;2;26.1;80;4.5
2024.0;8.0;18.0;11.0;29.71;29.71;28.71;30.71;2;25.7;80;4.5
2024.0;8.0;18.0;12.0;30.28;30.28;29.28;31.28;2;26.3;80;4.5
2024.0;8.0;18.0;13.0;30.93;30.93;29.93;31.93;2;26.9;80;4.5
2024.0;8.0;18.0;14.0;31.41;31.41;30.41;32.41;2;27.4;80;4.5
2024.0;8.0;18.0;15.0;30.51;30.51;29.51;31.51;2;26.5;80;4.5
2024.0;8.0;18.0;16.0;30.69;30.69;29.69;31.69;2;26.7;80;4.5
2024.0;8.0;18.0;17.0;30.91;30.91;29.91;31.91;2;26.9;80;4.5
2024.0;8.0;18.0;18.0;30.7;30.7;29.70;31.70;2;26.7;80;4.5
2024.0;8.0;18.0;19.0;30.33;30.33;29.33;31.33;2;26.3;80;4.5
2024.0;8.0;18.0;20.0;29.44;29.44;28.44;30.44;2;25.4;80;4.5
2024.0;8.0;18.0;21.0;28.26;28.26;27.26;29.26;2;24.3;80;4.5
2024.0;8.0;18.0;22.0;29.33;29.33;28.33;30.33;2;25.3;80;4.5
2024.0;8.0;18.0;23.0;27.33;27.33;26.33;28.33;2;23.3;80;4.5
2024.0;8.0;18.0;24.0;27.37;27.37;26.37;28.37;2;23.4;80;4.5
2024.0;8.0;19.0;1.0;27.82;27.82;26.82;28.82;2;23.8;80;4.5
2024.0;8.0;19.0;2.0;26.78;26.78;25.78;27.78;2;22.8;80;4.5
2024.0;8.0;19.0;3.0;26.87;26.87;25.87;27.87;2;22.9;80;4.5
2024.0;8.0;19.0;4.0;26.18;26.18;25.18;27.18;2;22.2;80;4.5
2024.0;8.0;19.0;5.0;27.13;27.13;26.13;28.13;2;23.1;80;4.5
2024.0;8.0;19.0;6.0;27.77;27.77;26.77;28.77;2;23.8;80;4.5
2024.0;8.0;19.0;7.0;27.77;27.77;26.77;28.77;2;23.8;80;4.5
2024.0;8.0;19.0;8.0;27.93;27.93;26.93;28.93;2;23.9;80;4.5
2024.0;8.0;19.0;9.0;29.03;29.03;28.03;30.03;2;25.0;80;4.5
2024.0;8.0;19.0;10.0;29.96;29.96;28.96;30.96;2;26.0;80;4.5
2024.0;8.0;19.0;11.0;29.04;29.04;28.04;30.04;2;25.0;80;4.5
2024.0;8.0;19.0;12.0;29.74;29.74;28.74;30.74;2;25.7;80;4.5
2024.0;8.0;19.0;13.0;30.08;30.08;29.08;31.08;2;26.1;80;4.5
2024.0;8.0;19.0;14.0;29.96;29.96;28.96;30.96;2;26.0;80;4.5
2024.0;8.0;19.0;15.0;31.1;31.1;30.10;32.10;2;27.1;80;4.5
2024.0;8.0;19.0;16.0;29.85;29.85;28.85;30.85;2;25.9;80;4.5
2024.0;8.0;19.0;17.0;30.47;30.47;29.47;31.47;2;26.5;80;4.5
2024.0;8.0;19.0;18.0;30.62;30.62;29.62;31.62;2;26.6;80;4.5
2024.0;8.0;19.0;19.0;29.39;29.39;28.39;30.39;2;25.4;80;4.5
2024.0;8.0;19.0;20.0;29.9;29.9;28.90;30.90;2;25.9;80;4.5
2024.0;8.0;19.0;21.0;29.17;29.17;28.17;30.17;2;25.2;80;4.5
2024.0;8.0;19.0;22.0;28.36;28.36;27.36;29.36;2;24.4;80;4.5
2024.0;8.0;19.0;23.0;27.02;27.02;26.02;28.02;2;23.0;80;4.5
2024.0;8.0;19.0;24.0;26.42;26.42;25.42;27.42;2;22.4;80;4.5
2024.0;8.0;20.0;1.0;27.11;27.11;26.11;28.11;2;23.1;80;4.5
2024.0;8.0;20.0;2.0;27.32;27.32;26.32;28.32;2;23.3;80;4.5
2024.0;8.0;20.0;3.0;26.82;26.82;25.82;27.82;2;22.8;80;4.5
2024.0;8.0;20.0;4.0;27.1;27.1;26.10;28.10;2;23.1;80;4.5
2024.0;8.0;20.0;5.0;28.46;28.46;27.46;29.46;2;24.5;80;4.5
2024.0;8.0;20.0;6.0;26.98;26.98;25.98;27.98;2;23.0;80;4.5
2024.0;8.0;20.0;7.0;27.81;27.81;26.81;28.81;2;23.8;80;4.5
2024.0;8.0;20.0;8.0;28.83;28.83;27.83;29.83;2;24.8;80;4.5
2024.0;8.0;20.0;9.0;28.83;28.83;27.83;29.83;2;24.8;80;4.5
2024.0;8.0;20.0;10.0;28.57;28.57;27.57;29.57;2;24.6;80;4.5
2024.0;8.0;20.0;11.0;29.48;29.48;28.48;30.48;2;25.5;80;4.5
2024.0;8.0;20.0;12.0;30.6;30.6;29.60;31.60;2;26.6;80;4.5
2024.0;8.0;20.0;13.0;30.43;30.43;29.43;31.43;2;26.4;80;4.5
2024.0;8.0;20.0;14.0;30.74;30.74;29.74;31.74;2;26.7;80;4.5
2024.0;8.0;20.0;15.0;30.61;30.61;29.61;31.61;2;26.6;80;4.5
2024.0;8.0;20.0;16.0;31.45;31.45;30.45;32.45;2;27.4;80;4.5
2024.0;8.0;20.0;17.0;30.86;30.86;29.86;31.86;2;26.9;80;4.5
2024.0;8.0;20.0;18.0;30.02;30.02;29.02;31.02;2;26.0;80;4.5
2024.0;8.0;20.0;19.0;30.38;30.38;29.38;31.38;2;26.4;80;4.5
2024.0;8.0;20.0;20.0;28.95;28.95;27.95;29.95;2;24.9;80;4.5
2024.0;8.0;20.0;21.0;29.52;29.52;28.52;30.52;2;25.5;80;4.5
2024.0;8.0;20.0;22.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;8.0;20.0;23.0;27.91;27.91;26.91;28.91;2;23.9;80;4.5
2024.0;8.0;20.0;24.0;27.42;27.42;26.42;28.42;2;23.4;80;4.5
2024.0;8.0;21.0;1.0;26.99;26.99;25.99;27.99;2;23.0;80;4.5
2024.0;8.0;21.0;2.0;27.19;27.19;26.19;28.19;2;23.2;80;4.5
2024.0;8.0;21.0;3.0;26.44;26.44;25.44;27.44;2;22.4;80;4.5
2024.0;8.0;21.0;4.0;26.91;26.91;25.91;27.91;2;22.9;80;4.5
2024.0;8.0;21.0;5.0;26.87;26.87;25.87;27.87;2;22.9;80;4.5
2024.0;8.0;21.0;6.0;27.03;27.03;26.03;28.03;2;23.0;80;4.5
2024.0;8.0;21.0;7.0;28.2;28.2;27.20;29.20;2;24.2;80;4.5
2024.0;8.0;21.0;8.0;28.67;28.67;27.67;29.67;2;24.7;80;4.5
2024.0;8.0;21.0;9.0;28.09;28.09;27.09;29.09;2;24.1;80;4.5
2024.0;8.0;21.0;10.0;29.8;29.8;28.80;30.80;2;25.8;80;4.5
2024.0;8.0;21.0;11.0;30.51;30.51;29.51;31.51;2;26.5;80;4.5
2024.0;8.0;21.0;12.0;30.4;30.4;29.40;31.40;2;26.4;80;4.5
2024.0;8.0;21.0;13.0;29.84;29.84;28.84;30.84;2;25.8;80;4.5
2024.0;8.0;21.0;14.0;31.26;31.26;30.26;32.26;2;27.3;80;4.5
2024.0;8.0;21.0;15.0;30.65;30.65;29.65;31.65;2;26.6;80;4.5
2024.0;8.0;21.0;16.0;30.81;30.81;29.81;31.81;2;26.8;80;4.5
2024.0;8.0;21.0;17.0;30.39;30.39;29.39;31.39;2;26.4;80;4.5
2024.0;8.0;21.0;18.0;30.86;30.86;29.86;31.86;2;26.9;80;4.5
2024.0;8.0;21.0;19.0;30.18;30.18;29.18;31.18;2;26.2;80;4.5
2024.0;8.0;21.0;20.0;29.49;29.49;28.49;30.49;2;25.5;80;4.5
2024.0;8.0;21.0;21.0;28.54;28.54;27.54;29.54;2;24.5;80;4.5
2024.0;8.0;21.0;22.0;28.7;28.7;27.70;29.70;2;24.7;80;4.5
2024.0;8.0;21.0;23.0;28.41;28.41;27.41;29.41;2;24.4;80;4.5
2024.0;8.0;21.0;24.0;27.57;27.57;26.57;28.57;2;23.6;80;4.5
2024.0;8.0;22.0;1.0;26.88;26.88;25.88;27.88;2;22.9;80;4.5
2024.0;8.0;22.0;2.0;26.96;26.96;25.96;27.96;2;23.0;80;4.5
2024.0;8.0;22.0;3.0;25.98;25.98;24.98;26.98;2;22.0;80;4.5
2024.0;8.0;22.0;4.0;25.44;25.44;24.44;26.44;2;21.4;80;4.5
2024.0;8.0;22.0;5.0;27.13;27.13;26.13;28.13;2;23.1;80;4.5
2024.0;8.0;22.0;6.0;27.47;27.47;26.47;28.47;2;23.5;80;4.5
2024.0;8.0;22.0;7.0;27.68;27.68;26.68;28.68;2;23.7;80;4.5
2024.0;8.0;22.0;8.0;26.9;26.9;25.90;27.90;2;22.9;80;4.5
2024.0;8.0;22.0;9.0;28.49;28.49;27.49;29.49;2;24.5;80;4.5
2024.0;8.0;22.0;10.0;29.37;29.37;28.37;30.37;2;25.4;80;4.5
2024.0;8.0;22.0;11.0;29.2;29.2;28.20;30.20;2;25.2;80;4.5
2024.0;8.0;22.0;12.0;31.07;31.07;30.07;32.07;2;27.1;80;4.5
2024.0;8.0;22.0;13.0;30.05;30.05;29.05;31.05;2;26.1;80;4.5
2024.0;8.0;22.0;14.0;30.28;30.28;29.28;31.28;2;26.3;80;4.5
2024.0;8.0;22.0;15.0;30.57;30.57;29.57;31.57;2;26.6;80;4.5
2024.0;8.0;22.0;16.0;31.5;31.5;30.50;32.50;2;27.5;80;4.5
2024.0;8.0;22.0;17.0;31.3;31.3;30.30;32.30;2;27.3;80;4.5
2024.0;8.0;22.0;18.0;30.02;30.02;29.02;31.02;2;26.0;80;4.5
2024.0;8.0;22.0;19.0;30.01;30.01;29.01;31.01;2;26.0;80;4.5
2024.0;8.0;22.0;20.0;29.55;29.55;28.55;30.55;2;25.6;80;4.5
2024.0;8.0;22.0;21.0;28.99;28.99;27.99;29.99;2;25.0;80;4.5
2024.0;8.0;22.0;22.0;27.8;27.8;26.80;28.80;2;23.8;80;4.5
2024.0;8.0;22.0;23.0;27.87;27.87;26.87;28.87;2;23.9;80;4.5
2024.0;8.0;22.0;24.0;27.53;27.53;26.53;28.53;2;23.5;80;4.5
2024.0;8.0;23.0;1.0;27.64;27.64;26.64;28.64;2;23.6;80;4.5
2024.0;8.0;23.0;2.0;26.44;26.44;25.44;27.44;2;22.4;80;4.5
2024.0;8.0;23.0;3.0;26.13;26.13;25.13;27.13;2;22.1;80;4.5
2024.0;8.0;23.0;4.0;26.35;26.35;25.35;27.35;2;22.4;80;4.5
2024.0;8.0;23.0;5.0;26.86;26.86;25.86;27.86;2;22.9;80;4.5
2024.0;8.0;23.0;6.0;27.39;27.39;26.39;28.39;2;23.4;80;4.5
2024.0;8.0;23.0;7.0;28.82;28.82;27.82;29.82;2;24.8;80;4.5
2024.0;8.0;23.0;8.0;28.27;28.27;27.27;29.27;2;24.3;80;4.5
2024.0;8.0;23.0;9.0;28.94;28.94;27.94;29.94;2;24.9;80;4.5
2024.0;8.0;23.0;10.0;29.52;29.52;28.52;30.52;2;25.5;80;4.5
2024.0;8.0;23.0;11.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;8.0;23.0;12.0;31.3;31.3;30.30;32.30;2;27.3;80;4.5
2024.0;8.0;23.0;13.0;29.54;29.54;28.54;30.54;2;25.5;80;4.5
2024.0;8.0;23.0;14.0;31.26;31.26;30.26;32.26;2;27.3;80;4.5
2024.0;8.0;23.0;15.0;30.66;30.66;29.66;31.66;2;26.7;80;4.5
2024.0;8.0;23.0;16.0;31.2;31.2;30.20;32.20;2;27.2;80;4.5
2024.0;8.0;23.0;17.0;30.13;30.13;29.13;31.13;2;26.1;80;4.5
2024.0;8.0;23.0;18.0;30.44;30.44;29.44;31.44;2;26.4;80;4.5
2024.0;8.0;23.0;19.0;29.54;29.54;28.54;30.54;2;25.5;80;4.5
2024.0;8.0;23.0;20.0;30.26;30.26;29.26;31.26;2;26.3;80;4.5
2024.0;8.0;23.0;21.0;28.16;28.16;27.16;29.16;2;24.2;80;4.5
2024.0;8.0;23.0;22.0;28.83;28.83;27.83;29.83;2;24.8;80;4.5
2024.0;8.0;23.0;23.0;27.23;27.23;26.23;28.23;2;23.2;80;4.5
2024.0;8.0;23.0;24.0;26.96;26.96;25.96;27.96;2;23.0;80;4.5
2024.0;8.0;24.0;1.0;26.84;26.84;25.84;27.84;2;22.8;80;4.5
2024.0;8.0;24.0;2.0;27.25;27.25;26.25;28.25;2;23.2;80;4.5
2024.0;8.0;24.0;3.0;26.77;26.77;25.77;27.77;2;22.8;80;4.5
2024.0;8.0;24.0;4.0;27.45;27.45;26.45;28.45;2;23.4;80;4.5
2024.0;8.0;24.0;5.0;26.15;26.15;25.15;27.15;2;22.1;80;4.5
2024.0;8.0;24.0;6.0;27.11;27.11;26.11;28.11;2;23.1;80;4.5
2024.0;8.0;24.0;7.0;27.44;27.44;26.44;28.44;2;23.4;80;4.5
2024.0;8.0;24.0;8.0;28.13;28.13;27.13;29.13;2;24.1;80;4.5
2024.0;8.0;24.0;9.0;29.09;29.09;28.09;30.09;2;25.1;80;4.5
2024.0;8.0;24.0;10.0;28.72;28.72;27.72;29.72;2;24.7;80;4.5
2024.0;8.0;24.0;11.0;30.31;30.31;29.31;31.31;2;26.3;80;4.5
2024.0;8.0;24.0;12.0;29.95;29.95;28.95;30.95;2;25.9;80;4.5
2024.0;8.0;24.0;13.0;30.74;30.74;29.74;31.74;2;26.7;80;4.5
2024.0;8.0;24.0;14.0;31.29;31.29;30.29;32.29;2;27.3;80;4.5
2024.0;8.0;24.0;15.0;30.59;30.59;29.59;31.59;2;26.6;80;4.5
2024.0;8.0;24.0;16.0;31.51;31.51;30.51;32.51;2;27.5;80;4.5
2024.0;8.0;24.0;17.0;29.51;29.51;28.51;30.51;2;25.5;80;4.5
2024.0;8.0;24.0;18.0;30.57;30.57;29.57;31.57;2;26.6;80;4.5
2024.0;8.0;24.0;19.0;29.83;29.83;28.83;30.83;2;25.8;80;4.5
2024.0;8.0;24.0;20.0;29.41;29.41;28.41;30.41;2;25.4;80;4.5
2024.0;8.0;24.0;21.0;28.38;28.38;27.38;29.38;2;24.4;80;4.5
2024.0;8.0;24.0;22.0;27.6;27.6;26.60;28.60;2;23.6;80;4.5
2024.0;8.0;24.0;23.0;27.64;27.64;26.64;28.64;2;23.6;80;4.5
2024.0;8.0;24.0;24.0;26.88;26.88;25.88;27.88;2;22.9;80;4.5
2024.0;8.0;25.0;1.0;26.57;26.57;25.57;27.57;2;22.6;80;4.5
2024.0;8.0;25.0;2.0;27.47;27.47;26.47;28.47;2;23.5;80;4.5
2024.0;8.0;25.0;3.0;27.13;27.13;26.13;28.13;2;23.1;80;4.5
2024.0;8.0;25.0;4.0;27.05;27.05;26.05;28.05;2;23.1;80;4.5
2024.0;8.0;25.0;5.0;27.08;27.08;26.08;28.08;2;23.1;80;4.5
2024.0;8.0;25.0;6.0;26.99;26.99;25.99;27.99;2;23.0;80;4.5
2024.0;8.0;25.0;7.0;27.95;27.95;26.95;28.95;2;23.9;80;4.5
2024.0;8.0;25.0;8.0;28.1;28.1;27.10;29.10;2;24.1;80;4.5
2024.0;8.0;25.0;9.0;29.24;29.24;28.24;30.24;2;25.2;80;4.5
2024.0;8.0;25.0;10.0;29.87;29.87;28.87;30.87;2;25.9;80;4.5
2024.0;8.0;25.0;11.0;30.53;30.53;29.53;31.53;2;26.5;80;4.5
2024.0;8.0;25.0;12.0;30.55;30.55;29.55;31.55;2;26.6;80;4.5
2024.0;8.0;25.0;13.0;30.6;30.6;29.60;31.60;2;26.6;80;4.5
2024.0;8.0;25.0;14.0;30.64;30.64;29.64;31.64;2;26.6;80;4.5
2024.0;8.0;25.0;15.0;30.69;30.69;29.69;31.69;2;26.7;80;4.5
2024.0;8.0;25.0;16.0;30.2;30.2;29.20;31.20;2;26.2;80;4.5
2024.0;8.0;25.0;17.0;29.85;29.85;28.85;30.85;2;25.9;80;4.5
2024.0;8.0;25.0;18.0;31.07;31.07;30.07;32.07;2;27.1;80;4.5
2024.0;8.0;25.0;19.0;30.82;30.82;29.82;31.82;2;26.8;80;4.5
2024.0;8.0;25.0;20.0;29.84;29.84;28.84;30.84;2;25.8;80;4.5
2024.0;8.0;25.0;21.0;28.68;28.68;27.68;29.68;2;24.7;80;4.5
2024.0;8.0;25.0;22.0;27.3;27.3;26.30;28.30;2;23.3;80;4.5
2024.0;8.0;25.0;23.0;28.23;28.23;27.23;29.23;2;24.2;80;4.5
2024.0;8.0;25.0;24.0;27.21;27.21;26.21;28.21;2;23.2;80;4.5
2024.0;8.0;26.0;1.0;27.05;27.05;26.05;28.05;2;23.1;80;4.5
2024.0;8.0;26.0;2.0;26.83;26.83;25.83;27.83;2;22.8;80;4.5
2024.0;8.0;26.0;3.0;27.35;27.35;26.35;28.35;2;23.4;80;4.5
2024.0;8.0;26.0;4.0;26.86;26.86;25.86;27.86;2;22.9;80;4.5
2024.0;8.0;26.0;5.0;27.47;27.47;26.47;28.47;2;23.5;80;4.5
2024.0;8.0;26.0;6.0;26.69;26.69;25.69;27.69;2;22.7;80;4.5
2024.0;8.0;26.0;7.0;27.25;27.25;26.25;28.25;2;23.2;80;4.5
2024.0;8.0;26.0;8.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;8.0;26.0;9.0;29.05;29.05;28.05;30.05;2;25.1;80;4.5
2024.0;8.0;26.0;10.0;29.78;29.78;28.78;30.78;2;25.8;80;4.5
2024.0;8.0;26.0;11.0;30.06;30.06;29.06;31.06;2;26.1;80;4.5
2024.0;8.0;26.0;12.0;30.43;30.43;29.43;31.43;2;26.4;80;4.5
2024.0;8.0;26.0;13.0;29.22;29.22;28.22;30.22;2;25.2;80;4.5
2024.0;8.0;26.0;14.0;30.84;30.84;29.84;31.84;2;26.8;80;4.5
2024.0;8.0;26.0;15.0;31.78;31.78;30.78;32.78;2;27.8;80;4.5
2024.0;8.0;26.0;16.0;30.31;30.31;29.31;31.31;2;26.3;80;4.5
2024.0;8.0;26.0;17.0;30.39;30.39;29.39;31.39;2;26.4;80;4.5
2024.0;8.0;26.0;18.0;30.5;30.5;29.50;31.50;2;26.5;80;4.5
2024.0;8.0;26.0;19.0;31.01;31.01;30.01;32.01;2;27.0;80;4.5
2024.0;8.0;26.0;20.0;29.15;29.15;28.15;30.15;2;25.1;80;4.5
2024.0;8.0;26.0;21.0;28.37;28.37;27.37;29.37;2;24.4;80;4.5
2024.0;8.0;26.0;22.0;28.31;28.31;27.31;29.31;2;24.3;80;4.5
2024.0;8.0;26.0;23.0;27.16;27.16;26.16;28.16;2;23.2;80;4.5
2024.0;8.0;26.0;24.0;27.37;27.37;26.37;28.37;2;23.4;80;4.5
2024.0;8.0;27.0;1.0;27.35;27.35;26.35;28.35;2;23.4;80;4.5
2024.0;8.0;27.0;2.0;26.69;26.69;25.69;27.69;2;22.7;80;4.5
2024.0;8.0;27.0;3.0;27.5;27.5;26.50;28.50;2;23.5;80;4.5
2024.0;8.0;27.0;4.0;27.2;27.2;26.20;28.20;2;23.2;80;4.5
2024.0;8.0;27.0;5.0;26.85;26.85;25.85;27.85;2;22.9;80;4.5
2024.0;8.0;27.0;6.0;27.5;27.5;26.50;28.50;2;23.5;80;4.5
2024.0;8.0;27.0;7.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;8.0;27.0;8.0;28.87;28.87;27.87;29.87;2;24.9;80;4.5
2024.0;8.0;27.0;9.0;28.25;28.25;27.25;29.25;2;24.2;80;4.5
2024.0;8.0;27.0;10.0;29.18;29.18;28.18;30.18;2;25.2;80;4.5
2024.0;8.0;27.0;11.0;29.74;29.74;28.74;30.74;2;25.7;80;4.5
2024.0;8.0;27.0;12.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;8.0;27.0;13.0;31.03;31.03;30.03;32.03;2;27.0;80;4.5
2024.0;8.0;27.0;14.0;30.84;30.84;29.84;31.84;2;26.8;80;4.5
2024.0;8.0;27.0;15.0;30.66;30.66;29.66;31.66;2;26.7;80;4.5
2024.0;8.0;27.0;16.0;30.45;30.45;29.45;31.45;2;26.4;80;4.5
2024.0;8.0;27.0;17.0;30.86;30.86;29.86;31.86;2;26.9;80;4.5
2024.0;8.0;27.0;18.0;29.61;29.61;28.61;30.61;2;25.6;80;4.5
2024.0;8.0;27.0;19.0;29.16;29.16;28.16;30.16;2;25.2;80;4.5
2024.0;8.0;27.0;20.0;30.08;30.08;29.08;31.08;2;26.1;80;4.5
2024.0;8.0;27.0;21.0;29.03;29.03;28.03;30.03;2;25.0;80;4.5
2024.0;8.0;27.0;22.0;28.83;28.83;27.83;29.83;2;24.8;80;4.5
2024.0;8.0;27.0;23.0;27.47;27.47;26.47;28.47;2;23.5;80;4.5
2024.0;8.0;27.0;24.0;26.82;26.82;25.82;27.82;2;22.8;80;4.5
2024.0;8.0;28.0;1.0;27.2;27.2;26.20;28.20;2;23.2;80;4.5
2024.0;8.0;28.0;2.0;26.59;26.59;25.59;27.59;2;22.6;80;4.5
2024.0;8.0;28.0;3.0;26.68;26.68;25.68;27.68;2;22.7;80;4.5
2024.0;8.0;28.0;4.0;26.05;26.05;25.05;27.05;2;22.1;80;4.5
2024.0;8.0;28.0;5.0;27.03;27.03;26.03;28.03;2;23.0;80;4.5
2024.0;8.0;28.0;6.0;27.25;27.25;26.25;28.25;2;23.2;80;4.5
2024.0;8.0;28.0;7.0;28.22;28.22;27.22;29.22;2;24.2;80;4.5
2024.0;8.0;28.0;8.0;28.2;28.2;27.20;29.20;2;24.2;80;4.5
2024.0;8.0;28.0;9.0;29.06;29.06;28.06;30.06;2;25.1;80;4.5
2024.0;8.0;28.0;10.0;29.39;29.39;28.39;30.39;2;25.4;80;4.5
2024.0;8.0;28.0;11.0;30.64;30.64;29.64;31.64;2;26.6;80;4.5
2024.0;8.0;28.0;12.0;29.45;29.45;28.45;30.45;2;25.4;80;4.5
2024.0;8.0;28.0;13.0;29.9;29.9;28.90;30.90;2;25.9;80;4.5
2024.0;8.0;28.0;14.0;30.47;30.47;29.47;31.47;2;26.5;80;4.5
2024.0;8.0;28.0;15.0;30.97;30.97;29.97;31.97;2;27.0;80;4.5
2024.0;8.0;28.0;16.0;30.44;30.44;29.44;31.44;2;26.4;80;4.5
2024.0;8.0;28.0;17.0;30.79;30.79;29.79;31.79;2;26.8;80;4.5
2024.0;8.0;28.0;18.0;30.81;30.81;29.81;31.81;2;26.8;80;4.5
2024.0;8.0;28.0;19.0;29.69;29.69;28.69;30.69;2;25.7;80;4.5
2024.0;8.0;28.0;20.0;29.59;29.59;28.59;30.59;2;25.6;80;4.5
2024.0;8.0;28.0;21.0;30.19;30.19;29.19;31.19;2;26.2;80;4.5
2024.0;8.0;28.0;22.0;28.06;28.06;27.06;29.06;2;24.1;80;4.5
2024.0;8.0;28.0;23.0;27.84;27.84;26.84;28.84;2;23.8;80;4.5
2024.0;8.0;28.0;24.0;27.23;27.23;26.23;28.23;2;23.2;80;4.5
2024.0;8.0;29.0;1.0;26.87;26.87;25.87;27.87;2;22.9;80;4.5
2024.0;8.0;29.0;2.0;27.32;27.32;26.32;28.32;2;23.3;80;4.5
2024.0;8.0;29.0;3.0;26.5;26.5;25.50;27.50;2;22.5;80;4.5
2024.0;8.0;29.0;4.0;27.49;27.49;26.49;28.49;2;23.5;80;4.5
2024.0;8.0;29.0;5.0;27.34;27.34;26.34;28.34;2;23.3;80;4.5
2024.0;8.0;29.0;6.0;27.7;27.7;26.70;28.70;2;23.7;80;4.5
2024.0;8.0;29.0;7.0;27.42;27.42;26.42;28.42;2;23.4;80;4.5
2024.0;8.0;29.0;8.0;27.57;27.57;26.57;28.57;2;23.6;80;4.5
2024.0;8.0;29.0;9.0;28.3;28.3;27.30;29.30;2;24.3;80;4.5
2024.0;8.0;29.0;10.0;30.04;30.04;29.04;31.04;2;26.0;80;4.5
2024.0;8.0;29.0;11.0;29.48;29.48;28.48;30.48;2;25.5;80;4.5
2024.0;8.0;29.0;12.0;30.89;30.89;29.89;31.89;2;26.9;80;4.5
2024.0;8.0;29.0;13.0;30.83;30.83;29.83;31.83;2;26.8;80;4.5
2024.0;8.0;29.0;14.0;30.78;30.78;29.78;31.78;2;26.8;80;4.5
2024.0;8.0;29.0;15.0;31.53;31.53;30.53;32.53;2;27.5;80;4.5
2024.0;8.0;29.0;16.0;30.9;30.9;29.90;31.90;2;26.9;80;4.5
2024.0;8.0;29.0;17.0;31.34;31.34;30.34;32.34;2;27.3;80;4.5
2024.0;8.0;29.0;18.0;29.79;29.79;28.79;30.79;2;25.8;80;4.5
2024.0;8.0;29.0;19.0;29.09;29.09;28.09;30.09;2;25.1;80;4.5
2024.0;8.0;29.0;20.0;29.31;29.31;28.31;30.31;2;25.3;80;4.5
2024.0;8.0;29.0;21.0;28.14;28.14;27.14;29.14;2;24.1;80;4.5
2024.0;8.0;29.0;22.0;27.97;27.97;26.97;28.97;2;24.0;80;4.5
2024.0;8.0;29.0;23.0;27.88;27.88;26.88;28.88;2;23.9;80;4.5
2024.0;8.0;29.0;24.0;27.74;27.74;26.74;28.74;2;23.7;80;4.5
2024.0;8.0;30.0;1.0;27.58;27.58;26.58;28.58;2;23.6;80;4.5
2024.0;8.0;30.0;2.0;26.88;26.88;25.88;27.88;2;22.9;80;4.5
